Typical Measured Spectrum of Semrock FF01-390/40 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 1e-6 (Optical Density 6) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
200.0	1.0e-07
200.2	3.3656e-06
200.4	1.1646e-05
200.6	5.7997e-06
200.8	3.7841e-07
201.0	3.7841e-07
201.2	1.0e-07
201.4	1.43e-07
201.6	3.0274e-06
201.8	1.0e-07
202.0	1.0e-07
202.2	1.0e-07
202.4	1.0e-07
202.6	1.0313e-06
202.8	7.7007e-07
203.0	1.37e-06
203.2	3.8838e-07
203.4	1.451e-07
203.6	1.0e-07
203.8	1.9549e-06
204.0	1.0e-07
204.2	9.4305e-07
204.4	2.8731e-06
204.6	3.7596e-07
204.8	3.8262e-06
205.0	1.1263e-05
205.2	3.7027e-07
205.4	7.871e-06
205.6	3.3203e-06
205.8	1.4939e-06
206.0	6.6535e-06
206.2	1.0e-07
206.4	5.1753e-07
206.6	1.7634e-06
206.8	1.0e-07
207.0	9.5088e-07
207.2	1.5008e-06
207.4	6.488e-07
207.6	1.0e-07
207.8	1.0e-07
208.0	2.6013e-07
208.2	2.4631e-07
208.4	2.7535e-06
208.6	1.0e-07
208.8	6.6883e-07
209.0	1.0e-07
209.2	1.3047e-06
209.4	4.2121e-06
209.6	4.4829e-06
209.8	3.4468e-07
210.0	3.4468e-07
210.2	4.5943e-06
210.4	2.8796e-07
210.6	1.0e-07
210.8	1.0e-07
211.0	1.0e-07
211.2	1.0e-07
211.4	1.0e-07
211.6	2.4769e-07
211.8	1.0e-07
212.0	1.0e-07
212.2	1.1179e-06
212.4	8.1269e-07
212.6	4.231e-07
212.8	1.0e-07
213.0	1.0e-07
213.2	1.0e-07
213.4	1.0e-07
213.6	1.0e-07
213.8	1.0e-07
214.0	1.0e-07
214.2	1.0e-07
214.4	1.5995e-06
214.6	1.0e-07
214.8	1.0e-07
215.0	1.0322e-06
215.2	2.061e-07
215.4	7.4424e-07
215.6	1.0e-07
215.8	8.3114e-07
216.0	1.0e-07
216.2	3.1699e-06
216.4	1.5033e-07
216.6	1.5033e-07
216.8	1.0e-07
217.0	1.0e-07
217.2	1.0e-07
217.4	1.0e-07
217.6	1.0e-07
217.8	1.0e-07
218.0	1.0e-07
218.2	1.0e-07
218.4	7.5647e-07
218.6	1.717e-06
218.8	1.0e-07
219.0	1.0e-07
219.2	1.0e-07
219.4	3.3716e-06
219.6	2.1487e-06
219.8	2.5164e-06
220.0	1.0194e-06
220.2	1.7368e-07
220.4	1.378e-06
220.6	1.2205e-07
220.8	1.2205e-07
221.0	1.0e-07
221.2	5.7321e-07
221.4	4.8617e-07
221.6	2.9676e-07
221.8	1.0e-07
222.0	1.0e-07
222.2	1.0e-07
222.4	1.0e-07
222.6	4.8045e-07
222.8	2.3306e-06
223.0	3.7406e-07
223.2	1.6379e-06
223.4	4.607e-07
223.6	2.1835e-06
223.8	2.7952e-07
224.0	1.0e-07
224.2	7.1096e-07
224.4	1.0e-07
224.6	1.0e-07
224.8	1.2746e-07
225.0	2.5051e-07
225.2	1.9573e-07
225.4	1.0e-07
225.6	3.3803e-07
225.8	6.6795e-07
226.0	6.6787e-07
226.2	5.3258e-07
226.4	4.8592e-07
226.6	1.7716e-07
226.8	1.7716e-07
227.0	1.0e-07
227.2	7.4793e-07
227.4	5.8884e-07
227.6	1.3553e-06
227.8	1.0e-07
228.0	1.0266e-07
228.2	5.451e-07
228.4	6.6828e-07
228.6	7.5237e-07
228.8	1.0e-07
229.0	1.0e-07
229.2	1.0e-07
229.4	1.0e-07
229.6	4.5991e-07
229.8	1.0e-07
230.0	8.2435e-07
230.2	1.0e-07
230.4	1.0e-07
230.6	1.0e-07
230.8	1.0e-07
231.0	3.7366e-07
231.2	5.6952e-07
231.4	1.2858e-06
231.6	2.6282e-07
231.8	1.0e-07
232.0	1.4088e-07
232.2	1.4088e-07
232.4	1.0e-07
232.6	1.567e-07
232.8	1.567e-07
233.0	1.0e-07
233.2	1.3426e-07
233.4	1.1517e-07
233.6	1.0e-07
233.8	2.401e-07
234.0	1.0e-07
234.2	6.8748e-07
234.4	2.8418e-07
234.6	4.6551e-07
234.8	1.0e-07
235.0	3.3181e-07
235.2	4.6096e-07
235.4	2.7994e-07
235.6	1.0e-07
235.8	1.0e-07
236.0	1.0e-07
236.2	1.0e-07
236.4	5.3958e-07
236.6	1.0e-07
236.8	1.0e-07
237.0	3.4099e-07
237.2	1.0e-07
237.4	4.6144e-07
237.6	1.5689e-07
237.8	2.8164e-07
238.0	2.9847e-07
238.2	1.0e-07
238.4	5.8625e-07
238.6	1.3516e-06
238.8	1.5737e-06
239.0	1.0e-07
239.2	2.8044e-07
239.4	1.0e-07
239.6	1.0663e-06
239.8	2.7119e-07
240.0	1.0e-07
240.2	1.0e-07
240.4	1.4633e-07
240.6	1.2335e-07
240.8	1.0e-07
241.0	3.959e-07
241.2	4.0706e-07
241.4	4.5924e-07
241.6	1.0e-07
241.8	1.0e-07
242.0	1.0e-07
242.2	2.7843e-07
242.4	1.571e-07
242.6	3.6487e-07
242.8	1.0e-07
243.0	1.0e-07
243.2	1.0963e-06
243.4	9.9961e-07
243.6	2.4502e-07
243.8	1.0e-07
244.0	4.2188e-07
244.2	2.1125e-07
244.4	6.0202e-07
244.6	8.778e-07
244.8	1.2361e-07
245.0	8.8444e-07
245.2	1.0e-07
245.4	4.082e-07
245.6	6.8178e-07
245.8	6.171e-07
246.0	1.1817e-07
246.2	4.014e-07
246.4	7.2979e-07
246.6	4.0179e-07
246.8	6.6264e-07
247.0	1.0e-07
247.2	1.0e-07
247.4	1.0e-07
247.6	1.0e-07
247.8	1.0e-07
248.0	8.9753e-07
248.2	1.0e-07
248.4	2.911e-07
248.6	2.5929e-07
248.8	2.3232e-07
249.0	1.0e-07
249.2	1.0e-07
249.4	1.0e-07
249.6	1.0e-07
249.8	1.0e-07
250.0	1.1934e-07
250.2	1.0e-07
250.4	1.0e-07
250.6	2.9914e-07
250.8	1.9538e-07
251.0	1.0e-07
251.2	1.0193e-06
251.4	7.7856e-07
251.6	3.5553e-07
251.8	3.0551e-07
252.0	1.0e-07
252.2	1.0e-07
252.4	4.6719e-07
252.6	1.0e-07
252.8	1.0e-07
253.0	1.0e-07
253.2	4.5821e-07
253.4	1.0e-07
253.6	1.868e-07
253.8	1.0909e-06
254.0	9.37e-07
254.2	2.2881e-07
254.4	2.2881e-07
254.6	1.0e-07
254.8	1.7613e-07
255.0	4.2035e-07
255.2	1.9044e-07
255.4	6.8754e-07
255.6	7.6036e-07
255.8	1.1184e-06
256.0	1.0e-07
256.2	2.057e-07
256.4	5.5881e-07
256.6	1.9687e-06
256.8	4.2374e-07
257.0	1.0e-07
257.2	1.0e-07
257.4	1.0e-07
257.6	1.0e-07
257.8	1.0e-07
258.0	1.5993e-07
258.2	8.9307e-07
258.4	1.2683e-07
258.6	1.0e-07
258.8	1.0e-07
259.0	3.5e-07
259.2	1.0e-07
259.4	1.0e-07
259.6	1.0e-07
259.8	1.0e-07
260.0	7.7419e-07
260.2	6.435e-07
260.4	2.4371e-07
260.6	6.08e-07
260.8	1.0e-07
261.0	4.6785e-07
261.2	1.0e-07
261.4	1.0e-07
261.6	1.0481e-07
261.8	1.0e-07
262.0	1.6246e-07
262.2	1.6246e-07
262.4	3.2138e-07
262.6	7.2735e-07
262.8	1.0093e-06
263.0	1.0724e-07
263.2	2.4412e-07
263.4	1.0e-07
263.6	7.0317e-07
263.8	1.0e-07
264.0	1.0e-07
264.2	1.0e-07
264.4	5.289e-07
264.6	2.834e-07
264.8	1.3114e-07
265.0	5.1121e-07
265.2	1.8361e-07
265.4	1.0e-07
265.6	1.0e-07
265.8	1.0e-07
266.0	1.0e-07
266.2	1.6034e-07
266.4	1.0e-07
266.6	1.0715e-07
266.8	1.8255e-07
267.0	5.344e-07
267.2	1.0e-07
267.4	1.0e-07
267.6	1.0e-07
267.8	1.0e-07
268.0	1.6155e-07
268.2	1.1694e-06
268.4	3.2165e-07
268.6	1.0e-07
268.8	1.0e-07
269.0	1.0e-07
269.2	6.3611e-07
269.4	2.2068e-07
269.6	1.0e-07
269.8	3.245e-07
270.0	1.0e-07
270.2	1.0e-07
270.4	2.1841e-07
270.6	1.0e-07
270.8	3.8141e-07
271.0	4.4976e-07
271.2	1.8826e-07
271.4	1.0e-07
271.6	1.6089e-07
271.8	1.6089e-07
272.0	1.0e-07
272.2	1.0e-07
272.4	1.0e-07
272.6	5.1284e-07
272.8	4.3105e-07
273.0	3.4189e-07
273.2	1.9076e-07
273.4	2.0065e-07
273.6	6.8071e-07
273.8	1.0e-07
274.0	1.0e-07
274.2	1.0e-07
274.4	1.0e-07
274.6	2.9774e-07
274.8	1.0e-07
275.0	1.0e-07
275.2	1.0e-07
275.4	1.0e-07
275.6	1.0e-07
275.8	1.0671e-06
276.0	2.0399e-07
276.2	1.0e-07
276.4	1.0e-07
276.6	1.0e-07
276.8	1.0e-07
277.0	2.7882e-07
277.2	1.0e-07
277.4	1.0e-07
277.6	1.0e-07
277.8	1.0e-07
278.0	1.0e-07
278.2	1.0e-07
278.4	1.0e-07
278.6	1.0e-07
278.8	1.6568e-07
279.0	1.6568e-07
279.2	1.0e-07
279.4	1.6412e-07
279.6	1.6412e-07
279.8	1.5472e-07
280.0	1.5525e-07
280.2	2.1838e-07
280.4	1.0e-07
280.6	1.0e-07
280.8	1.0e-07
281.0	1.0e-07
281.2	1.7247e-07
281.4	7.2317e-07
281.6	2.9978e-07
281.8	3.0732e-07
282.0	1.0e-07
282.2	1.0e-07
282.4	7.3209e-07
282.6	1.7121e-07
282.8	2.5172e-07
283.0	1.5938e-07
283.2	6.1195e-07
283.4	1.2904e-06
283.6	1.0e-07
283.8	1.1837e-07
284.0	1.0e-07
284.2	1.0e-07
284.4	1.7909e-07
284.6	5.6145e-07
284.8	1.0e-07
